Cluster_Agglo,Species_List,Centroid_Latitude,Centroid_Longitude,Radius_Km,City_State,Habitat,Richness
36,"Canis familiaris, Dasypus novemcinctus, Odocoileus virginianus, Didelphis virginiana, Procyon lotor, Sciurus niger, Canis latrans, Sciurus carolinensis, Lynx rufus",37.80698457321079,-95.47379333333332,50,Allen County - Kansas,forest,9
37,"Vulpes macrotis, Lepus californicus, Canis latrans, Canis familiaris, Ammospermophilus leucurus, Dipodomys merriami, Taxidea taxus, Lynx rufus, Dipodomys deserti, Felis catus, Equus caballus",36.37166998056976,-115.29994353124997,50,Las Vegas - Nevada,desert,11
38,"Procyon lotor, Tamias striatus, Sciurus carolinensis, Sylvilagus floridanus, Didelphis virginiana, Neovison vison, Mephitis mephitis, Felis catus, Vulpes vulpes, Sciurus niger, Canis latrans, Canis familiaris, Marmota monax, Odocoileus virginianus, Urocyon cinereoargenteus",38.02982904634551,-84.51197777777779,50,Lexington - Kentucky,anthropogenic,15
39,"Odocoileus virginianus, Procyon lotor, Sylvilagus floridanus, Didelphis virginiana, Bos taurus, Lynx rufus, Sus scrofa, Canis latrans, Dasypus novemcinctus, Vulpes vulpes, Urocyon cinereoargenteus, Mephitis mephitis, Canis familiaris, Equus caballus, Sciurus niger, Capra aegagrus hircus, Ovis aries",33.95985218920621,-97.23746447269832,50,Love County - Oklahoma,grassland,17
40,"Canis latrans, Felis catus, Tamias striatus, Sylvilagus floridanus, Sciurus carolinensis, Urocyon cinereoargenteus, Procyon lotor, Vulpes vulpes, Mephitis mephitis, Didelphis virginiana, Odocoileus virginianus, Marmota monax, Pekania pennanti, Erethizon dorsatum, Tamiasciurus hudsonicus, Napaeozapus insignis, Canis familiaris",42.925693593696025,-76.19967108399999,50,City of Syracuse - New York,forest,17
41,"Pecari tajacu, Didelphis virginiana, Odocoileus virginianus, Mephitis mephitis, Sylvilagus floridanus, Lynx rufus, Procyon lotor, Canis latrans, Dasypus novemcinctus, Neotoma micropus, Peromyscus leucopus, Canis familiaris, Odocoileus hemionus, Sus scrofa, Boselaphus tragocamelus, Lepus californicus",26.27893064816441,-97.47859017647056,50,Cameron County - Texas,forest,16
42,"Sciurus carolinensis, Procyon lotor, Vulpes vulpes, Felis catus, Sylvilagus floridanus, Sciurus niger, Marmota monax, Odocoileus virginianus, Canis familiaris, Didelphis virginiana",39.328867051041776,-76.620915,50,Baltimore - Maryland,forest,10
43,"Otospermophilus variegatus, Lynx rufus, Spilogale gracilis, Neotamias dorsalis, Neotamias umbrinus, Ammospermophilus leucurus, Canis latrans, Sylvilagus audubonii, Neotoma lepida, Dipodomys merriami, Urocyon cinereoargenteus, Taxidea taxus, Procyon lotor, Bassariscus astutus, Lepus californicus, Odocoileus hemionus, Vulpes macrotis, Canis familiaris, Mephitis mephitis",37.18783423416294,-113.52731553846152,50,Washington County - Utah,desert,19
44,"Bos taurus, Cervus canadensis, Canis latrans, Neotoma cinerea, Tamiasciurus hudsonicus, Lepus americanus, Mustela frenata, Glaucomys sabrinus, Ursus americanus, Mephitis mephitis, Lynx rufus, Puma concolor, Odocoileus hemionus, Equus caballus, Canis lupus, Sylvilagus nuttallii, Lepus townsendii, Canis familiaris, Odocoileus virginianus",45.289348987953495,-118.56191547619048,50,Union County - Oregon,forest,19
45,"Ursus americanus, Glaucomys sabrinus, Tamiasciurus douglasii, Spilogale gracilis, Odocoileus hemionus, Aplodontia rufa, Lynx rufus, Lepus americanus",48.11303607518094,-124.02849428571427,50,Clallam County - Washington,forest,8
46,"Odocoileus virginianus, Sciurus carolinensis, Didelphis virginiana, Procyon lotor, Sciurus niger, Dasypus novemcinctus, Marmota monax",37.61178400338382,-94.94736233333332,50,Crawford County - Kansas,forest,7
